Name,Email,Phone,Country
Name                                Email                     Country  ,nc@gmail.com,(932) 238-4422,Indian
Name                                Email                     Country,            nc@gmail.com,             Indian,ni@gmail.com,(616) 763-3029,Indian
131@example.com: Arya Bansal,            1b@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(456) 921-4840,Indian
131@example.com: Aditi Bansal,            1b@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(427) 416-2315,Indian
145@example.com: Aditi Patel,            1p@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(500) 516-2665,Indian
142@example.com: Aarav Mehta,            1m@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(919) 878-8519,Indian
141@example.com: Ishita Das,            1d@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(458) 815-1633,Indian
148@example.com: Gaurav Mehta,            1m@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(228) 924-2420,Indian
140@example.com: Akshay Kumar,            1k@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(960) 947-2368,Indian
130@example.com: Aditi Agarwal,            1a@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(409) 541-6487,Indian
145@example.com: Avinash Patel,            1p@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(440) 772-3912,Indian
140@example.com: Aarav Kumar,            1k@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(888) 437-3983,Indian
133@example.com: Arya Das,            1d@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(454) 344-6583,Indian
156@example.com: Ishita Singh,            1s@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(667) 805-9696,Indian
130@example.com: Aditi Agarwal,            1a@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(414) 777-8199,Indian
136@example.com: Arjun Gupta,            1g@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(969) 460-7665,Indian
145@example.com: Akshay Patel,            1p@gmail.com,             India,            1i@gmail.com,             Indian,1i@gmail.com,(415) 961-9447,Indian
